n,side,entry_dt,entry_px,exit_dt,exit_px,qty,bars,net_pnl,pnl_pct
1,SHORT,Jan 23 22:00,2218.11,Jan 27 02:00,2273.56,20.2874,77,-1161.44,-2.58
2,LONG,Jan 30 06:00,2292.54,Feb 8 03:00,2418.63,10.3640,214,1287.26,5.42
3,LONG,Feb 8 06:00,2418.29,Feb 13 01:00,2551.30,13.2827,116,1740.27,5.42
4,LONG,Feb 13 03:00,2553.03,Feb 14 18:00,2693.45,13.5219,40,1870.33,5.42
5,LONG,Feb 14 22:00,2758.53,Feb 19 15:00,2910.25,14.6802,114,2193.99,5.42
6,SHORT,Mar 15 00:00,3882.38,Mar 15 13:00,3668.85,5.4511,14,1147.51,5.42
7,LONG,Mar 26 04:00,3641.17,Mar 27 00:00,3550.14,6.9463,21,-652.30,-2.58
8,SHORT,Apr 2 04:00,3446.03,Apr 2 23:00,3256.50,8.7585,20,1636.54,5.42
9,LONG,Apr 8 19:00,3598.65,Apr 10 00:00,3508.68,8.3365,30,-773.70,-2.58
10,SHORT,Apr 13 04:00,3324.99,Apr 14 05:00,3142.12,11.5081,26,2074.77,5.42
11,SHORT,Apr 14 08:00,2948.85,Apr 14 09:00,3022.57,15.2601,2,-1161.44,-2.58
12,LONG,Apr 28 04:00,3256.64,Apr 29 13:00,3175.22,9.2120,34,-773.70,-2.58
13,SHORT,Apr 30 20:00,3045.69,May 1 17:00,2878.18,13.0023,22,2147.25,5.42
14,SHORT,May 11 02:00,2916.59,May 13 19:00,2989.50,10.2859,66,-774.29,-2.58
15,LONG,May 13 19:00,2971.83,May 14 16:00,2897.53,19.6715,22,-1507.70,-2.58
16,LONG,May 17 21:00,3036.39,May 21 05:00,3203.39,10.2262,81,1682.26,5.42
17,LONG,May 21 06:00,3440.90,May 21 07:00,3630.15,13.0780,2,2438.02,5.42
18,SHORT,Jun 8 04:00,3723.38,Jun 11 16:00,3518.59,9.1156,85,1840.34,5.42
19,SHORT,Jun 15 04:00,3387.15,Jun 15 07:00,3471.83,11.5905,4,-1013.27,-2.58
20,SHORT,Jun 18 13:00,3427.25,Jun 19 11:00,3512.93,9.4442,23,-835.41,-2.58
21,LONG,Jun 28 02:00,3450.16,Jun 29 05:00,3363.91,5.9337,28,-527.98,-2.58
22,SHORT,Jul 3 14:00,3358.95,Jul 4 12:00,3174.21,7.4279,23,1352.84,5.42
23,SHORT,Jul 5 14:00,2920.09,Jul 6 01:00,2993.09,15.4104,12,-1161.44,-2.58
24,LONG,Jul 15 11:00,3276.72,Jul 16 08:00,3456.94,8.5569,22,1519.08,5.42
25,LONG,Jul 16 09:00,3471.32,Jul 16 16:00,3384.54,7.6022,8,-680.59,-2.58
26,LONG,Jul 29 17:00,3372.98,Jul 30 02:00,3288.66,6.2106,10,-540.26,-2.58
27,SHORT,Aug 1 09:00,3242.49,Aug 3 00:00,3064.15,7.4467,40,1309.23,5.42
28,SHORT,Aug 3 03:00,3025.55,Aug 4 07:00,2859.14,13.6533,29,2239.85,5.42
29,SHORT,Aug 5 05:00,2727.69,Aug 5 10:00,2577.67,16.4974,6,2439.97,5.42
30,SHORT,Aug 16 07:00,2548.34,Aug 16 16:00,2612.05,11.0055,10,-723.86,-2.58
31,LONG,Aug 24 06:00,2745.22,Aug 27 04:00,2676.59,12.0540,71,-853.41,-2.58
32,SHORT,Aug 28 00:00,2608.37,Aug 28 07:00,2464.91,10.9809,8,1553.05,5.42
33,SHORT,Sep 7 02:00,2289.13,Sep 7 07:00,2163.23,14.0538,6,1744.38,5.42
34,LONG,Sep 14 03:00,2406.21,Sep 16 07:00,2346.05,9.1828,53,-569.85,-2.58
35,SHORT,Sep 16 07:00,2361.99,Sep 19 13:00,2399.55,18.0748,79,-713.32,-1.67
36,LONG,Sep 19 13:00,2399.55,Sep 20 14:00,2531.53,31.6716,26,4117.40,5.42
37,LONG,Sep 20 18:00,2559.98,Sep 24 02:00,2700.78,14.2093,81,1970.76,5.42
38,SHORT,Sep 26 06:00,2569.94,Sep 26 20:00,2634.19,8.2622,15,-548.04,-2.58
39,SHORT,Oct 2 02:00,2522.99,Oct 3 05:00,2384.23,16.5851,28,2268.87,5.42
40,LONG,Oct 7 14:00,2494.46,Oct 8 04:00,2432.10,8.0348,15,-516.89,-2.58
41,SHORT,Oct 10 07:00,2354.06,Oct 11 02:00,2412.91,14.0908,20,-856.13,-2.58
42,LONG,Oct 14 15:00,2541.49,Oct 16 00:00,2681.27,12.2944,34,1692.86,5.42
43,SHORT,Oct 24 03:00,2491.23,Oct 24 11:00,2553.51,14.7654,9,-949.39,-2.58
44,LONG,Oct 29 12:00,2582.54,Oct 31 00:00,2724.58,10.1628,37,1421.94,5.42
45,SHORT,Nov 1 02:00,2563.04,Nov 3 13:00,2422.07,14.0433,60,1951.64,5.42
46,LONG,Nov 6 13:00,2568.30,Nov 7 08:00,2709.56,17.5215,20,2438.03,5.42
47,LONG,Nov 21 23:00,3288.93,Nov 24 00:00,3469.82,9.1216,50,1625.35,5.42
48,LONG,Dec 7 05:00,4055.22,Dec 8 18:00,3953.84,8.4815,38,-887.03,-2.58
49,LONG,Dec 16 13:00,3972.45,Dec 18 08:00,3873.14,5.1320,44,-525.77,-2.58
50,SHORT,Dec 19 08:00,3691.09,Dec 20 03:00,3488.08,11.3723,20,2276.03,5.42
51,SHORT,Dec 20 07:00,3380.38,Dec 20 12:00,3464.89,13.3120,6,-1161.44,-2.58
52,SHORT,Dec 20 22:00,3103.06,Dec 20 23:00,3234.68,14.5017,2,-1945.48,-4.32
53,LONG,Jan 4 03:00,3583.17,Jan 8 01:00,3493.59,8.3725,95,-773.70,-2.58
54,SHORT,Jan 8 02:00,3459.98,Jan 9 03:00,3269.68,13.0058,26,2439.98,5.42
